CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81580020,-25.4882127778241,-49.2241676667996,3,15:11,32,81460239,-25.5325141725804,-49.3365793791746,True,15:34
81460239,-25.5325141725804,-49.3365793791746,3,15:34,32,82310433,-25.43107,-49.372483,True,16:01
82310433,-25.43107,-49.372483,3,16:01,30,81820330,-25.5169970179923,-49.2724628977617,True,16:08
81820330,-25.5169970179923,-49.2724628977617,3,16:08,44,81312000,-25.5030856483401,-49.3152229520216,True,16:20
81312000,-25.5030856483401,-49.3152229520216,3,16:20,37,81920500,-25.5428123134011,-49.2544219342922,True,16:43
81920500,-25.5428123134011,-49.2544219342922,3,16:43,32,82800310,-25.4363060856137,-49.2266446131255,True,17:08
82800310,-25.4363060856137,-49.2266446131255,3,17:08,31,81250190,-25.4787356976141,-49.3477187290333,True,17:18
81250190,-25.4787356976141,-49.3477187290333,3,17:18,32,80740199,-25.4437465384921,-49.3130473847111,True,17:24
80740199,-25.4437465384921,-49.3130473847111,3,17:24,44,80820310,-25.4086845373433,-49.2906611455039,True,17:25
80820310,-25.4086845373433,-49.2906611455039,3,17:25,60,80820500,-25.4107702686398,-49.3021048645381,False,17:43
80820500,-25.4107702686398,-49.3021048645381,3,17:43,34,81350686,-25.4936598469491,-49.3400481020638,True,17:46
81350686,-25.4936598469491,-49.3400481020638,3,17:46,52,81050637,-25.4835295000015,-49.3145007999984,True,17:52
81050637,-25.4835295000015,-49.3145007999984,3,17:52,44,81270220,-25.4591060306723,-49.3531713829059,True,18:15
81270220,-25.4591060306723,-49.3531713829059,3,18:15,32,82130162,-25.3808898753791,-49.2691345002354,True,18:35
82130162,-25.3808898753791,-49.2691345002354,3,18:35,33,81010170,-25.4783570614136,-49.2757205974116,True,18:47
81010170,-25.4783570614136,-49.2757205974116,3,18:47,37,80820520,-25.4127105464884,-49.2963300390619,True,18:55
80820520,-25.4127105464884,-49.2963300390619,3,18:55,42,82220142,-25.3755612295988,-49.2640974005018,True,06:00
82220142,-25.3755612295988,-49.2640974005018,4,06:00,33,81010130,-25.4764195588417,-49.273155691529,True,06:08
81010130,-25.4764195588417,-49.273155691529,5,06:08,41,81560250,-25.4891353622078,-49.2181798796427,True,06:25
81560250,-25.4891353622078,-49.2181798796427,5,06:25,34,80510090,-25.4219078028813,-49.2805581841836,True,06:51
80510090,-25.4219078028813,-49.2805581841836,5,06:51,31,81880380,-25.5395481532947,-49.2924784574248,True,07:12
81880380,-25.5395481532947,-49.2924784574248,5,07:12,32,81210070,-25.4427148131246,-49.3268133751402,True,07:25
81210070,-25.4427148131246,-49.3268133751402,5,07:25,36,80045265,-25.430376,-49.248243,True,07:49
80045265,-25.430376,-49.248243,5,07:49,31,81850680,-25.54320816435,-49.242931161733,True,07:52
81850680,-25.54320816435,-49.242931161733,5,07:52,53,81830580,-25.525272804958,-49.2599985858237,True,08:14
81830580,-25.525272804958,-49.2599985858237,5,08:14,32,82530060,-25.425394880957,-49.2359359145395,True,08:38
82530060,-25.425394880957,-49.2359359145395,5,08:38,31,81280048,-25.4357441112655,-49.361230111158,True,08:47
81280048,-25.4357441112655,-49.361230111158,5,08:47,40,81330220,-25.4843712333489,-49.3355483883407,True,09:15
81330220,-25.4843712333489,-49.3355483883407,5,09:15,30,82821020,-25.4233146347775,-49.2160678044742,True,09:24
82821020,-25.4233146347775,-49.2160678044742,5,09:24,40,81510570,-25.4741691564102,-49.242520655745,True,09:43
81510570,-25.4741691564102,-49.242520655745,5,09:43,33,82015100,-25.4177303741766,-49.3254408265132,True,09:48
82015100,-25.4177303741766,-49.3254408265132,5,09:48,46,82100440,-25.3942804783177,-49.2932765649519,True,09:56
82100440,-25.3942804783177,-49.2932765649519,5,09:56,42,80250220,-25.4401651682037,-49.2778677639266,True,09:59
80250220,-25.4401651682037,-49.2778677639266,5,09:59,52,80510360,-25.4193944591681,-49.2858097118247,True,10:16
80510360,-25.4193944591681,-49.2858097118247,5,10:16,34,81260350,-25.4831184667002,-49.3499515999385,True,10:45
81260350,-25.4831184667002,-49.3499515999385,5,10:45,30,82810080,-25.4396831550178,-49.213992719196,True,10:45
82810080,-25.4396831550178,-49.213992719196,5,10:45,0,81470255,-25.569630444458,-49.3374921110026,False,10:45
81470255,-25.569630444458,-49.3374921110026,5,10:45,0,81590568,-25.4865484092882,-49.1981543961654,False,11:06
81590568,-25.4865484092882,-49.1981543961654,5,11:06,32,80410000,-25.4213661621413,-49.2875646174355,True,11:18
80410000,-25.4213661621413,-49.2875646174355,5,11:18,38,82810220,-25.4362783812433,-49.2176039050576,True,11:46
82810220,-25.4362783812433,-49.2176039050576,5,11:46,30,81280190,-25.4369027676958,-49.3594793608748,True,11:54
81280190,-25.4369027676958,-49.3594793608748,5,11:54,42,80310110,-25.4618760201347,-49.3131981040754,True,12:16
80310110,-25.4618760201347,-49.3131981040754,5,12:16,32,82990198,-25.4560595000466,-49.1987434093442,True,12:38
82990198,-25.4560595000466,-49.1987434093442,5,12:38,32,82115020,-25.3852616256441,-49.2858709374701,True,12:40
82115020,-25.3852616256441,-49.2858709374701,5,12:40,58,82100620,-25.3924350555573,-49.3027649999663,True,12:58
82100620,-25.3924350555573,-49.3027649999663,5,12:58,34,81050411,-25.482982,-49.305864,True,13:18
81050411,-25.482982,-49.305864,5,13:18,33,82821020,-25.4233146347775,-49.2160678044742,True,13:43
82821020,-25.4233146347775,-49.2160678044742,5,13:43,31,82320230,-25.4021230003188,-49.3423791541151,True,14:02
82320230,-25.4021230003188,-49.3423791541151,5,14:02,33,81450410,-25.4981067710058,-49.3448539613686,True,14:18
81450410,-25.4981067710058,-49.3448539613686,5,14:18,30,81480125,-25.5614706374337,-49.3118706658535,True,14:36
81480125,-25.5614706374337,-49.3118706658535,5,14:36,34,81240110,-25.4758162194925,-49.3455733886983,True,15:03
